"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"TUR","INDPROD","MFG","IDX2015","A","2017",112.7167,
"GBR","INDPROD","MFG","IDX2015","A","2010",97.75145,
"GBR","INDPROD","MFG","IDX2015","A","2011",99.94811,
"GBR","INDPROD","MFG","IDX2015","A","2012",98.77194,
"GBR","INDPROD","MFG","IDX2015","A","2013",97.71686,
"GBR","INDPROD","MFG","IDX2015","A","2014",100.493,
"GBR","INDPROD","MFG","IDX2015","A","2015",100,
"GBR","INDPROD","MFG","IDX2015","A","2016",100.2681,
"GBR","INDPROD","MFG","IDX2015","A","2017",102.6031,
"USA","INDPROD","MFG","IDX2015","A","2010",93.3552,
"USA","INDPROD","MFG","IDX2015","A","2011",96.0822,
"USA","INDPROD","MFG","IDX2015","A","2012",98.56136,
"USA","INDPROD","MFG","IDX2015","A","2013",99.43169,
"USA","INDPROD","MFG","IDX2015","A","2014",100.5538,
"USA","INDPROD","MFG","IDX2015","A","2015",100,
"USA","INDPROD","MFG","IDX2015","A","2016",99.19012,
"USA","INDPROD","MFG","IDX2015","A","2017",99.80727,
"BRA","INDPROD","MFG","IDX2015","A","2010",115.0108,
"BRA","INDPROD","MFG","IDX2015","A","2011",115.3485,
"BRA","INDPROD","MFG","IDX2015","A","2012",112.5903,
"BRA","INDPROD","MFG","IDX2015","A","2013",115.7426,
"BRA","INDPROD","MFG","IDX2015","A","2014",110.911,
"BRA","INDPROD","MFG","IDX2015","A","2015",100,
"BRA","INDPROD","MFG","IDX2015","A","2016",94.00507,
"BRA","INDPROD","MFG","IDX2015","A","2017",96.11596,
"CHL","INDPROD","MFG","IDX2015","A","2010",90.92502,
"CHL","INDPROD","MFG","IDX2015","A","2011",97.75357,
"CHL","INDPROD","MFG","IDX2015","A","2012",100.498,
"CHL","INDPROD","MFG","IDX2015","A","2013",100.877,
"CHL","INDPROD","MFG","IDX2015","A","2014",99.36326,
"CHL","INDPROD","MFG","IDX2015","A","2015",100,
"CHL","INDPROD","MFG","IDX2015","A","2016",99.53458,
"CHL","INDPROD","MFG","IDX2015","A","2017",99.33968,
"COL","INDPROD","MFG","IDX2015","A","2010",93.54455,
"COL","INDPROD","MFG","IDX2015","A","2011",98.14322,
"COL","INDPROD","MFG","IDX2015","A","2012",97.80637,
"COL","INDPROD","MFG","IDX2015","A","2013",96.52832,
"COL","INDPROD","MFG","IDX2015","A","2014",98.00394,
"COL","INDPROD","MFG","IDX2015","A","2015",100,
"COL","INDPROD","MFG","IDX2015","A","2016",104.0454,
"COL","INDPROD","MFG","IDX2015","A","2017",103.5206,
"EST","INDPROD","MFG","IDX2015","A","2010",72.63561,
"EST","INDPROD","MFG","IDX2015","A","2011",89.05924,
"EST","INDPROD","MFG","IDX2015","A","2012",90.56745,
"EST","INDPROD","MFG","IDX2015","A","2013",94.01717,
"EST","INDPROD","MFG","IDX2015","A","2014",98.60845,
"EST","INDPROD","MFG","IDX2015","A","2015",100,
"EST","INDPROD","MFG","IDX2015","A","2016",103.2914,
"EST","INDPROD","MFG","IDX2015","A","2017",106.5161,
"IND","INDPROD","MFG","IDX2015","A","2010",88.40267,
"IND","INDPROD","MFG","IDX2015","A","2011",93.01216,
"IND","INDPROD","MFG","IDX2015","A","2012",92.00467,
"IND","INDPROD","MFG","IDX2015","A","2013",93.98445,
"IND","INDPROD","MFG","IDX2015","A","2014",97.83646,
"IND","INDPROD","MFG","IDX2015","A","2015",100.0612,
"IND","INDPROD","MFG","IDX2015","A","2016",104.8439,
"IND","INDPROD","MFG","IDX2015","A","2017",108.6333,
"IDN","INDPROD","MFG","IDX2015","A","2010",79.30907,
"IDN","INDPROD","MFG","IDX2015","A","2011",82.5574,
"IDN","INDPROD","MFG","IDX2015","A","2012",85.95573,
"IDN","INDPROD","MFG","IDX2015","A","2013",91.11766,
"IDN","INDPROD","MFG","IDX2015","A","2014",95.45541,
"IDN","INDPROD","MFG","IDX2015","A","2015",100,
"IDN","INDPROD","MFG","IDX2015","A","2016",104.0132,
"IDN","INDPROD","MFG","IDX2015","A","2017",108.9398,
"ISR","INDPROD","MFG","IDX2015","A","2010",91.63154,
"ISR","INDPROD","MFG","IDX2015","A","2011",93.66901,
"ISR","INDPROD","MFG","IDX2015","A","2012",98.09524,
"ISR","INDPROD","MFG","IDX2015","A","2013",97.08821,
"ISR","INDPROD","MFG","IDX2015","A","2014",97.63466,
"ISR","INDPROD","MFG","IDX2015","A","2015",100,
"ISR","INDPROD","MFG","IDX2015","A","2016",99.71897,
"ISR","INDPROD","MFG","IDX2015","A","2017",101.4754,
"LVA","INDPROD","MFG","IDX2015","A","2010",78.775,
"LVA","INDPROD","MFG","IDX2015","A","2011",87.975,
"LVA","INDPROD","MFG","IDX2015","A","2012",96.15833,
"LVA","INDPROD","MFG","IDX2015","A","2013",96.21667,
"LVA","INDPROD","MFG","IDX2015","A","2014",95.89167,
"LVA","INDPROD","MFG","IDX2015","A","2015",100,
"LVA","INDPROD","MFG","IDX2015","A","2016",105.6167,
"LVA","INDPROD","MFG","IDX2015","A","2017",114.1,
"LTU","INDPROD","MFG","IDX2015","A","2010",77.91202,
"LTU","INDPROD","MFG","IDX2015","A","2011",85.8107,
"LTU","INDPROD","MFG","IDX2015","A","2012",90.28495,
"LTU","INDPROD","MFG","IDX2015","A","2013",94.17597,
"LTU","INDPROD","MFG","IDX2015","A","2014",94.93418,
"LTU","INDPROD","MFG","IDX2015","A","2015",100,
"LTU","INDPROD","MFG","IDX2015","A","2016",103.0745,
"LTU","INDPROD","MFG","IDX2015","A","2017",110.6149,
"RUS","INDPROD","MFG","IDX2015","A","2010",78.11198,
"RUS","INDPROD","MFG","IDX2015","A","2011",84.48592,
"RUS","INDPROD","MFG","IDX2015","A","2012",88.82686,
"RUS","INDPROD","MFG","IDX2015","A","2013",91.46809,
"RUS","INDPROD","MFG","IDX2015","A","2014",94.34261,
"RUS","INDPROD","MFG","IDX2015","A","2015",100,
"RUS","INDPROD","MFG","IDX2015","A","2016",100.9248,
"RUS","INDPROD","MFG","IDX2015","A","2017",106.5239,
"SVN","INDPROD","MFG","IDX2015","A","2010",93.04166,
"SVN","INDPROD","MFG","IDX2015","A","2011",94.04166,
"SVN","INDPROD","MFG","IDX2015","A","2012",91.86667,
"SVN","INDPROD","MFG","IDX2015","A","2013",90.44167,
"SVN","INDPROD","MFG","IDX2015","A","2014",94.3,
"SVN","INDPROD","MFG","IDX2015","A","2015",100,
"SVN","INDPROD","MFG","IDX2015","A","2016",107.65,
"SVN","INDPROD","MFG","IDX2015","A","2017",116.4917,
